grid,skyvector_url,lsalt_100ft
"[[149.5,-25.5],[150.0,-25.5],[150.0,-25.0],[149.5,-25.0],[149.5,-25.5]]",https://skyvector.com/?fpl=2530S14930E%202530S15000E%202500S15000E%202500S14930E%202530S14930E,27
"[[150.0,-27.0],[150.5,-27.0],[150.5,-26.5],[150.0,-26.5],[150.0,-27.0]]",https://skyvector.com/?fpl=2700S15000E%202700S15030E%202630S15030E%202630S15000E%202700S15000E,24
"[[150.0,-26.5],[150.5,-26.5],[150.5,-26.0],[150.0,-26.0],[150.0,-26.5]]",https://skyvector.com/?fpl=2630S15000E%202630S15030E%202600S15030E%202600S15000E%202630S15000E,28
"[[150.5,-27.0],[151.0,-27.0],[151.0,-26.5],[150.5,-26.5],[150.5,-27.0]]",https://skyvector.com/?fpl=2700S15030E%202700S15100E%202630S15100E%202630S15030E%202700S15030E,24
"[[150.5,-26.5],[151.0,-26.5],[151.0,-26.0],[150.5,-26.0],[150.5,-26.5]]",https://skyvector.com/?fpl=2630S15030E%202630S15100E%202600S15100E%202600S15030E%202630S15030E,31
"[[149.0,-27.0],[149.5,-27.0],[149.5,-26.5],[149.0,-26.5],[149.0,-27.0]]",https://skyvector.com/?fpl=2700S14900E%202700S14930E%202630S14930E%202630S14900E%202700S14900E,24
"[[149.0,-26.5],[149.5,-26.5],[149.5,-26.0],[149.0,-26.0],[149.0,-26.5]]",https://skyvector.com/?fpl=2630S14900E%202630S14930E%202600S14930E%202600S14900E%202630S14900E,30
"[[149.5,-27.0],[150.0,-27.0],[150.0,-26.5],[149.5,-26.5],[149.5,-27.0]]",https://skyvector.com/?fpl=2700S14930E%202700S15000E%202630S15000E%202630S14930E%202700S14930E,24
"[[149.5,-26.5],[150.0,-26.5],[150.0,-26.0],[149.5,-26.0],[149.5,-26.5]]",https://skyvector.com/?fpl=2630S14930E%202630S15000E%202600S15000E%202600S14930E%202630S14930E,26
"[[150.0,-28.0],[150.5,-28.0],[150.5,-27.5],[150.0,-27.5],[150.0,-28.0]]",https://skyvector.com/?fpl=2800S15000E%202800S15030E%202730S15030E%202730S15000E%202800S15000E,21
"[[150.0,-27.5],[150.5,-27.5],[150.5,-27.0],[150.0,-27.0],[150.0,-27.5]]",https://skyvector.com/?fpl=2730S15000E%202730S15030E%202700S15030E%202700S15000E%202730S15000E,23
"[[150.5,-28.0],[151.0,-28.0],[151.0,-27.5],[150.5,-27.5],[150.5,-28.0]]",https://skyvector.com/?fpl=2800S15030E%202800S15100E%202730S15100E%202730S15030E%202800S15030E,24
